preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
FBXO34,INTS6L,FASTKD2,CYFIP2,CXCR4,GOLGA4,FLJ40288,CYB5R2
FBXO38,IPO11,FAU,CYGB,CXorf40B,GOLGA6L1,FLJ42102,CYB5RL
FBXO4,IPO5P1,FBP1,CYHR1,CXorf67,GOLGA6L17P,FLJ45513,CYBA
FBXO43,IQCF4,FBXL12,CYP17A1,CXXC4,GOLGA6L2,FLNB,CYBRD1
FBXO45,IQCJ-SCHIP1-AS1,FBXL15,CYP26A1,CYB5D1,GOLGA6L22,FLNC-AS1,CYC1
FBXO47,IRAK3,FBXO36,CYP26C1,CYLD,GOLGA6L22.1,FLRT1,CYFIP1
FBXW10,IREB2,FBXO46,CYP27A1,CYP11B2,GOLGA8A,FLRT2,CYFIP2
FBXW11,IRF4,FBXO9,CYP27B1,CYP17A1,GOLGA8EP,FLRT3,CYGB
FBXW4,IRF7,FBXW5,CYP27C1,CYP1B1-AS1,GOLGA8S,FMC1,CYLC1
FBXW4P1,IRGQ,FCAR,CYP2A13,CYP24A1,GON4L,FMO1,CYP26A1
FCGR1A,IRS2,FCER1G,CYP2B6,CYP26C1,GON7,FMO2,CYP27A1
FCHO1,IRX3,FCER2,CYP2C8,CYP2C18,GOSR2,FMO6P,CYP27C1
FER1L6,IRX5,FCF1P2,CYP2J2,CYP2W1,GPANK1,FNDC10,CYP2J2
FERMT2,ISLR2,FCHO2,CYP2S1,CYP3A43,GPATCH11,FNDC11,CYP2S1
FEZ2,ISY1,FCRL1,CYP39A1,CYP46A1,GPATCH3,FNDC8,CYP39A1
FFAR4,ITFG2-AS1,FCRLA,CYP51A1,CYP4A11,GPBAR1,FNTA,CYP51A1-AS1
FGD5,ITGA1,FDXR,CYREN,CYP4F12,GPBP1L1,FOLH1B,CYREN
FGD6,ITGAL,FEM1A,CYSRT1,CYP4F24P,GPHB5,FOLR1,CYSRT1
FGF12-AS2,ITGB1BP2,FEM1B,CYTL1,CYP4F3,GPN2,FOXA2,CYTL1
FGF14,ITLN1,FENDRR,CYTOR,CYP4V2,GPN3,FOXD3,CYTOR
FGF9,ITPRIP,FERMT3,CYYR1,CYP4Z1,GPR101,FOXD4L5,CYYR1
FHL5,ITPRIPL2,FES,CZIB,CYS1,GPR149,FOXI1,CZ1P-ASNS
FHOD3,JCHAIN,FFAR1,D21S2088E,CYTH4,GPR152,FOXI3,CZIB
FICD,JKAMP,FGA,DACH2,CYTIP,GPR17,FOXP1,D21S2088E
FIG4,JRKL,FGB,DACT2,CYYR1-AS1,GPR180,FOXP3,D2HGDH
FIGNL1,JUN,FGD2,DAD1,DAAM2,GPR35,FOXP4-AS1,DACH2
FKBP6,KANSL2,FGF4,DALRD3,DAB2IP,GPR37L1,FOXR2,DAD1
FLJ31104,KANSL3,FGF8,DANCR,DAGLB,GPR45,FOXS1,DALRD3
FLJ42627,KANTR,FGFBP2,DAPK1,DAND5,GPR50,FPR1,DANCR
FLT3,KATNAL2,FGFR2,DAPK1-IT1,DAO,GPR61,FPR2,DAP3
FLVCR2,KAZN-AS1,FGFR3,DARS-AS1,DAOA-AS1,GPR75-ASB3,FRAT2,DAPK1
FMN2,KBTBD6,FGFR4,DARS2,DAP,GPRACR,FREM3,DARS
FMNL1,KCCAT333,FGG,DAXX,DAPK3,GPT,FRG1BP,DARS2
FMNL2,KCNA1,FGL1,DAZAP1,DAPP1,GRAMD1B,FRK,DAZAP1
FMO2,KCNAB3,FGL2,DBI,DAW1,GRB2,FRMD1,DBN1
FN1,KCNC2,FHDC1,DBN1,DAZAP2,GRIN3A,FRMD4B,DBNDD1
FNBP1,KCNC3,FIGN,DBNDD1,DAZL,GRIP2,FRMD6,DBNDD2
FNBP1L,KCNG3,FIGNL2,DBNDD2,DBH,GRK3,FRMD8P1,DBNL
FNDC3B,KCNH5,FILIP1,DBNL,DBT,GRK4,FRMPD2,DCAF10
FNDC5,KCNJ10,FILIP1L,DBX2,DBX1,GRK5,FRMPD3,DCAF11
FNIP2,KCNJ11,FILNC1,DCAF11,DCAF1,GRK7,FRMPD4,DCAF12L2
FOSB,KCNJ3,FKBP1AP1,DCAF12L2,DCAF12,GRM5,FRRS1,DCAF13
FOXF2,KCNQ5,FLACC1,DCAF7,DCAF15,GRPEL1,FRZB,DCAKD
FOXJ3,KCNS1,FLG,DCAKD,DCAF17,GRSF1,FTH1P18,DCBLD2
FOXK2,KCNV1,FLG-AS1,DCBLD2,DCAF4L1,GRWD1,FUBP3,DCDC1
FOXO3,KCTD1,FLG2,DCDC1,DCAF5,GS1-124K5.11,FUNDC1,DCHS1
FOXP4,KCTD12,FLJ12825,DCHS1,DCAF6,GSC-DT,FUNDC2P2,DCLK1
FOXQ1,KCTD18,FLJ16779,DCLK1,DCAF8,GSC2,FUOM,DCLK3
FPGT,KCTD19,FLJ40288,DCLK3,DCANP1,GSTA7P,FUT7,DCLRE1C
FRA10AC1,KCTD3,FLJ42393,DCN,DCDC2,GSTT2,FXN,DCN
FRAT1,KCTD4,FLJ42969,DCP1B,DCHS2,GSTT2.1,FXYD4,DCP1B
FREM3,KCTD9,FLJ44635,DCTD,DCK,GTF2A1,FYB1,DCPS
FRG1JP,KDM4C,FLJ45513,DCTN2,DCLK2,GTF2A2,FZD5,DCTD
FRMD3,KDM4E,FLNB,DCTN6,DCLRE1A,GTF2E2,FZD8,DCTN2
FRMD4B,KDM5B,FLNB-AS1,DCTPP1,DCLRE1B,GTF2F1,FZR1,DCTN6
FRMD5,KDM7A-DT,FLRT1,DCUN1D5,DCP2,GTF2F2,G2E3,DCTPP1
FRRS1L,KHDC1,FLRT3,DCXR-DT,DCST1-AS1,GTF2H1,G2E3-AS1,DCUN1D2
FRYL,KHDC1L,FLT4,DDAH1,DCT,GTPBP4,GABRA2,DCUN1D4
FSIP2,KHDC4,FMC1-LUC7L2,DDAH2,DCTN4,GTSE1-DT,GABRA4,DDAH1
FSTL4,KIAA1191,FMOD,DDB2,DCTN5,GUSBP1,GABRB1,DDAH2
FSTL5,KIAA2026,FMR1NB,DDIT4,DCUN1D3,GUSBP10,GABRR1,DDB2
FTHL17,KIF19,FNBP4,DDOST,DCUN1D5,GUSBP11,GADD45G,DDC-AS1
FTL,KIF26A,FNDC3A,DDR1,DCX,GXYLT2,GAGE1,DDOST
FTMT,KIF27,FNDC4,DDR2,DDB1,H1FNT,GAK,DDR2
FURIN,KIF4B,FOLR1,DDRGK1,DDN-AS1,H2AFV,GALK2,DDX1
FUT10,KIF9-AS1,FOLR3,DDX1,DDR1,H2AFX,GALNT10,DDX11L1
FYB2,KIN,FOXA2,DDX19B,DDX11,H2AFZ,GALNT11,DDX17
FYCO1,KITLG,FOXC2,DDX25,DDX11-AS1,H2BFS,GALNT12,DDX18
FYN,KLF10,FOXE1,DDX28,DDX11L10,H3.Y,GALNT6,DDX19A
FZD1,KLF14,FOXI3,DDX39A,DDX11L2,H3F3A,GALNT8,DDX19B
FZD3,KLF16,FOXJ2,DDX39B,DDX12P,H3F3AP4,GALNTL5,DDX25
FZD6,KLF17,FOXK1,DDX41,DDX28,H3F3AP4.1,GALR2,DDX27
GAB1,KLF5,FOXN3,DDX49,DDX3X,HAGLR,GALT,DDX39B
GAB2,KLF9,FOXN3-AS2,DDX52,DDX42,HAND2-AS1,GAPT,DDX41
GABARAPL3,KLHL11,FOXN4,DDX56,DDX50,HASPIN,GAR1,DDX46
GABBR2,KLHL15,FOXO4,DDX60,DDX58,HAT1,GAREM1,DDX51
GABPB1,KLHL21,FOXO6,DECR1,DDX59,HAUS2,GAS1,DDX52
GABRG3,KLHL41,FOXP1-AS1,DEF6,DDX60L,HAUS3,GAS2L1,DDX56
GABRR3,KLHL6,FOXP4-AS1,DEK,DEAF1,HBD,GAS2L2,DDX6
GALC,KLK11,FPR2,DELE1,DEDD2,HBE1,GAS6,DDX60
GALNT1,KLK2,FRG1-DT,DENND3,DEFB118,HBEGF,GASK1B,DECR1
GALNT3,KLK5,FRG1BP,DENR,DEFB129,HBM,GAST,DECR2
GALNT5,KLRB1,FRMD4A,DEPDC1,DEFB135,HCFC2,GATA2,DEF6
GALNTL5,KLRC2,FRMD6,DEPDC1-AS1,DENND1C,HDGFL2,GATA3,DEK
GALNTL6,KLRD1,FRRS1,DEPDC1B,DENND4A,HEATR9,GATA4,DELE1
GAREM1,KLRG1,FRZB,DERL1,DENND5A,HECA,GATB,DENND1B
GAS2L3,KMT5A,FSCN1,DERL2,DENND5B,HEIH,GATD1,DENND2D
GAS7,KMT5B,FST,DERPC,DENND6B,HELB,GAU1,DENND3
GATAD2B,KPNA1,FTSJ3,DESI2,DEPDC1B,HELT,GBA,DENND4B
GBF1,KPNA2,FUBP3,DEXI,DEPDC4,HERC5,GBP7,DENND6A
GBP2,KPNA6,FUCA1,DFFA,DEPDC7,HES2,GCC2-AS1,DENR
GBP7,KPTN,FUOM,DGCR11,DERA,HES7,GCFC2,DEPDC1
GCA,KRAS,FUT3,DGCR5,DES,HEXIM1,GCGR,DEPDC1-AS1
GCC2,KRBA2,FUT6,DGCR6L,DESI1,HEY1,GCKR,DERL2
GCH1,KRBOX1-AS1,FXN,DGKA,DET1,HGC6.3,GCLM,DFFA
GDA,KRBOX4,FXYD3,DGKH,DGAT2L6,HGF,GCM1,DFFB
GDAP1,KRT10,FXYD4,DGKK,DGCR8,HGH1,GCNT7,DGCR5
GDF9,KRT12,FYB1,DGLUCY,DGCR9,HGH1.1,GDF15,DGCR6L
GDPD4,KRT17,FZD10,DGUOK,DGKB,HIC1,GDF3,DGKA
GEM,KRT222,FZD4,DHCR7,DGKE,HIF1A-AS2,GDF5,DGKH
GEMIN5,KRT27,FZD5,DHFR,DGUOK,HIGD2B,GDF5OS,DGKK
GFPT1,KRT42P,GABARAPL1,DHODH,DHRS9,HIPK1,GDPD1,DGKQ
GFRA2,KRT80,GABPB1-IT1,DHPS,DHX32,HIPK1-AS1,GDPD2,DGKZ
GFY,KRT9,GABRA2,DHRS1,DHX58,HIPK3,GDPD3,DHCR24
GGNBP2,KY,GABRA4,DHRS11,DIAPH2,HIST1H2AL,GEN1,DHCR7
GHRH,LACC1,GADD45G,DHRS13,DICER1,HIST1H2BA,GET4,DHDH
GIT1,LACRT,GAGE1,DHRS2,DINOL,HIST1H2BB,GFAP,DHODH
GIT2,LALBA,GAGE12J,DHRS4,DIO3,HIST1H2BC,GFRAL,DHPS
GJC1,LAMP5-AS1,GAK,DHRS4-AS1,DIP2C,HIST1H2BH,GGA1,DHRS12
GKAP1,LAMTOR5,GALK2,DHRS4L1,DIPK1B,HK2,GGT1,DHRS13
GLB1L,LAMTOR5-AS1,GALNT10,DHRS4L2,DIRAS2,HLF,GHITM,DHRS2
GLCCI1,LARP1B,GALNT6,DHRS7,DISC1,HLX,GHR,DHRS4
GLCE,LARP4,GALNT8,DHRS7B,DISC2,HMGB2,GIMAP1,DHRS4-AS1
GLIPR1,LAT2,GAN,DHX30,DKFZp451B082,HMGN3-AS1,GIMAP1-GIMAP5,DHRS4L1
GLIPR1L2,LATS1,GAS1,DHX35,DKK1,HMGN4,GIMAP4,DHRS4L2
GLRB,LBH,GAS2L1P2,DIABLO,DKK4,HMMR,GIMAP7,DHRS7
GLT6D1,LBR,GAS2L2,DIAPH2,DLEC1,HMX3,GJA1,DHX33
GLYATL1,LBX1-AS1,GAS6,DIAPH2-AS1,DLG1,HNRNPA1L2,GJA10,DHX35
GMCL1,LCLAT1,GASAL1,DICER1-AS1,DLG1-AS1,HNRNPA2B1,GJA9-MYCBP,DHX36
GMDS,LCMT2,GASK1B,DIMT1,DLG2,HNRNPAB,GJB1,DHX57
GNA11,LEAP2,GAST,DIXDC1,DLGAP2,HNRNPC,GJB4,DICER1-AS1
GNA12,LECT2,GATA2,DKC1,DLL1,HNRNPCL1,GJB7,DIMT1
GNA14,LEMD1-AS1,GATA2-AS1,DKK3,DLL4,HNRNPCL2,GK,DIO2-AS1
GNAI1,LEMD3,GATA3,DKKL1,DLX1,HNRNPCL4,GK2,DIP2B
GNAQ,LENG1,GATA4,DLG5-AS1,DMBT1,HNRNPF,GK3P,DIPK1A
GNB1,LENG8,GATA5,DLGAP1,DMBT1P1,HNRNPK,GLA,DIPK2A
GNB4,LENG9,GATAD2A,DLGAP1-AS1,DMD,HNRNPU,GLDC,DIXDC1
GNG12,LEUTX,GATB,DLGAP1-AS2,DMGDH,HNRNPUL2,GLDN,DKK2
GNG2,LGALS7B,GATD3B,DLGAP1-AS4,DMP1,HOTAIRM1,GLIPR2,DKK3
GNPAT,LGALS9,GAU1,DLGAP1-AS5,DMRT1,HOXA10,GLIS2-AS1,DKKL1
GNPDA2,LGALS9C,GBA,DLGAP4,DMRT2,HOXA13,GLRA3,DLG4
GNPTAB,LGI1,GBA2,DLGAP4-AS1,DMRTA1,HOXA5,GLUD1,DLGAP1-AS1
GNPTG,LGI4,GBA3,DMAC1,DMRTB1,HOXB-AS1,GLYCAM1,DLGAP1-AS2
GNS,LHB,GBGT1,DMAC2,DMTF1,HOXB13,GMEB2,DLGAP3
GOLGA1,LHFPL3-AS1,GCGR,DMAP1,DMTN,HOXB2,GNG10,DLGAP4
GOLGA2,LHFPL3-AS2,GCKR,DMBT1P1,DMXL1,HOXB8,GNG14,DLK1
GOLGA2P11,LIAS,GCM1,DMC1,DNA2,HOXB9,GNLY,DLL3
GOLGA3,LIFR,GCN1,DMKN,DNAAF1,HOXC10,GNMT,DMAC2L
GOLGA5,LILRA3,GDF11,DMPK,DNAH10,HOXC12,GNPNAT1,DMKN
GOLGA6A,LILRP2,GDF15,DNAAF2,DNAH11,HOXC6,GNRHR,DNAAF2
GOLGA6B,LIM2,GDF3,DNAH14,DNAH12,HOXC9,GOLGA6L6,DNAAF5
GOLGA6C,LIN54,GDF5,DNAH17-AS1,DNAH17,HOXD1,GOLGA6L7,DNAH14
GOLGA6D,LINC-ROR,GDF7,DNAJA3,DNAH2,HOXD11,GOLGA7B,DNAJA3
GOLGA6L10,LINC00158,GDPD1,DNAJB11,DNAH3,HP,GOLGA8IP,DNAJB5
GOLGA6L17P,LINC00167,GDPD2,DNAJB5,DNAH7,HPCAL4,GP2,DNAJC12
GOLGA6L4,LINC00221,GDPD3,DNAJC10,DNAI1,HPS4,GP5,DNAJC18
GOLGA6L7,LINC00226,GEN1,DNAJC12,DNAI2,HR,GP6,DNAJC19
GOLGA7,LINC00242,GET4,DNAJC19,DNAJB13,HRH4,GPATCH1,DNAJC2
GOLGA8CP,LINC00266-1,GFER,DNAJC30,DNAJB2,HRK,GPER1,DNAJC30
GOLGA8DP,LINC00294,GGA1,DNAJC4,DNAJB3,HS2ST1,GPR1-AS,DNAJC5
GOLGA8H,LINC00324,GGA2,DNAJC5,DNAJB4,HSD3BP4,GPR108,DNAJC7
GOLGA8J,LINC00337,GGN,DNAJC7,DNAJB5-DT,HSF4,GPR12,DNAJC8
GOLGA8N,LINC00348,GGT8P,DNALI1,DNAJB8-AS1,HSFX4,GPR132,DNALI1
GOLGA8O,LINC00355,GGTLC1,DNASE1,DNAJC27-AS1,HSFX4.1,GPR139,DNASE1L1
GOLGA8R,LINC00359,GHITM,DNASE1L1,DNAJC6,HSPA14,GPR142,DNER
GOLGA8S,LINC00366,GIMAP1-GIMAP5,DNER,DNAL4,HSPA2,GPR146,DNM1
GOLPH3,LINC00408,GIMAP6,DNHD1,DNASE1L2,HSPA6,GPR148,DNMT3A
GOLPH3L,LINC00426,GJA1,DNM1,DNASE2B,HSPB3,GPR151,DNMT3B
GOLT1B,LINC00437,GJA10,DNM1L,DNM1P35,HTR3E,GPR157,DNPEP
GOPC,LINC00466,GJB3,DNMT3B,DNMT1,HYPK,GPR160,DNPH1
GP1BA,LINC00476,GJB4,DNPEP,DOC2A,HYPM,GPR174,DNTTIP1
GPAM,LINC00501,GJD3,DNPH1,DOCK1,IBA57-DT,GPR179,DOCK7
GPANK1,LINC00540,GK,DNTTIP1,DOCK2,IDH2-DT,GPR182,DOK4
GPAT3,LINC00564,GK2,DOC2A,DOCK4,IDO2,GPR183,DONSON
GPATCH1,LINC00570,GK3P,DOC2GP,DOCK5,IER3,GPR21,DPAGT1
GPATCH2,LINC00571,GLA,DOCK5,DOCK9,IER5,GPR22,DPEP3
GPBP1,LINC00597,GLDC,DOHH,DOCK9-DT,IER5L,GPR32,DPH5
GPC5,LINC00601,GLIPR2,DOK4,DOK1,IFI30,GPR34,DPH6
GPD1,LINC00605,GLP1R,DOLK,DOK5,IFNA17,GPR4,DPM1
GPD1L,LINC00612,GLP2R,DOLPP1,DOK6,IFNA2,GPR55,DPM2
GPHA2,LINC00618,GLRA1,DONSON,DOK7,IFNA21,GPR75,DPM3
GPHN,LINC00629,GLRA3,DPAGT1,DOP1A,IFNA7,GPR85,DPP10-AS1
GPLD1,LINC00640,GLT8D1,DPEP3,DPF1,IFNA8,GPR87,DPP7
GPM6A,LINC00641,GLTPD2,DPH1,DPF2,IFRD1,GPRC5A,DPPA4
GPR1,LINC00648,GLUD1,DPH5,DPH3P1,IFT20,GPRC5C,DPY19L1P1
GPR119,LINC00652,GLYCTK-AS1,DPH6,DPP3,IFT80,GPRC5D,DPY19L2
GPR132,LINC00653,GM2A,DPH7,DPP6,IGFL1,GPRC6A,DPY19L3
GPR137B,LINC00680,GMCL2,DPM2,DPP8,IGHMBP2,GPRIN3,DPY19L4
GPR137C,LINC00680-GUSBP4,GMFG,DPM3,DPP9-AS1,IKBKG,GPS2,DPYD
GPR149,LINC00682,GNAL,DPP7,DPPA3,IKZF1,GPX2,DPYS
GPR158,LINC00701,GNAT1,DPP9,DPPA5,IKZF3,GRAMD2A,DPYSL2
GPR3,LINC00839,GNE,DPPA4,DPY19L2P1,IKZF5,GRAMD2B,DPYSL3
GPR31,LINC00852,GNLY,DPY19L2,DPY30,IL10RB-DT,GRASP,DPYSL4
GPR33,LINC00863,GNRH2,DPYD,DPYSL5,IL13,GRASP-AS1,DRAP1
GPR37,LINC00909,GNRHR,DPYSL2,DRC3,IL13RA2,GREB1L,DRAXIN
GPR75-ASB3,LINC00921,GOLGA4,DPYSL3,DRICH1,IL1RN,GREM2,DRC1
GRAMD1C,LINC00926,GOLGA6L3,DPYSL4,DROSHA,IL2,GRIA2,DRD2
GRB7,LINC00951,GOLGA6L9,DRAP1,DSC1,IL21R-AS1,GRID1,DRG1
GRHL1,LINC00997,GOLGA6L9.1,DRAXIN,DSCAS,IL27,GRIN1,DRG2
GRHL3,LINC01023,GOLGA7B,DRC1,DSCR10,IL2RG,GRIN2C,DRGX
GRIA2,LINC01033,GOLGA8A,DRD2,DSCR4,IL3,GRK6,DSC3
GRIK2,LINC01043,GOLGA8B,DRD3,DSCR8,IL31RA,GRM1,DSCC1
GRIN2A,LINC01141,GOLGA8EP,DRG1,DSTNP2,IL7R,GRM3,DSE
GRIN2B,LINC01179,GOLGB1,DRG2,DTL,ILF2,GRM6,DSEL
GRIP1,LINC01189,GORASP1,DSCC1,DTNBP1,ILF3-DT,GRXCR1,DSG2
GRK3,LINC01191,GP1BB,DSPP,DTWD2,IMP3,GRXCR2,DTD1
GRK7,LINC01193,GP2,DSTN,DTX1,IMP4,GS1-600G8.3,DTNA
GRM3,LINC01206,GP6,DTD1,DTX2,IMPDH1,GSC,DTX3
GRM4,LINC01215,GPAT4,DTD2,DTX2P1-UPK3BP1-PMS2P11,INE1,GSDMA,DTYMK
GRM5,LINC01224,GPBAR1,DTNA,DUOX1,ING1,GSDMB,DUBR
GRM8,LINC01226,GPIHBP1,DTWD1,DUS4L,ING2,GSG1L2,DUSP2
GRTP1,LINC01233,GPR1-AS,DTX1,DUSP10,INHBB,GSK3B,DUSP23
GRTP1-AS1,LINC01241,GPR108,DTX3,DUSP14,INIP,GSTA2,DUSP28
GSAP,LINC01242,GPR12,DTX3L,DUSP15,INMT,GSTA3,DUSP3
GSE1,LINC01247,GPR142,DTYMK,DUSP19,INO80,GSTA5,DUSP6
GSN-AS1,LINC01260,GPR153,DUBR,DUSP21,INO80B,GSTM2P1,DUT
GSX2,LINC01268,GPR160,DUOX1,DUSP5P1,INO80C,GSTZ1,DYDC2
GTF2A1L,LINC01279,GPR161,DUS2,DUSP7,INPP5K,GSX2,DYNC1H1
GTF2E1,LINC01280,GPR17,DUSP13,DUSP8,INSL6,GTF2H2C_2,DYNC1LI2
GTF2IP23,LINC01297,GPR171,DUSP15,DUX4,INSM2,GTF2H5,DYRK1B
GTF2IRD1P1,LINC01301,GPR173,DUSP2,DUXAP10,INSR,GTPBP8,E2F3
GTSE1,LINC01353,GPR179,DUSP23,DUXAP10.1,INTS4,GUCA1A,E2F4
GUCD1,LINC01355,GPR18,DUSP3,DUXAP8,INTS6,GUCA1C,E2F5
GUCY1A1,LINC01359,GPR182,DUSP6,DUXAP9,INTS6-AS1,GUCA2A,E2F7
GUCY1A2,LINC01363,GPR20,DUT,DUXAP9.1,INTS6L,GUF1,EARS2
GUCY2C,LINC01364,GPR21,DVL3,DVL1,IP6K3,GVINP1,EBF4
GUCY2D,LINC01412,GPR26,DXO,DVL2,IPO11,GXYLT1,EBI3
GVINP1,LINC01414,GPR32,DYDC2,DYDC1,IPO5P1,GYS1,EBPL
GYPA,LINC01419,GPR61,DYNC1H1,DYM,IQCF3,H19,ECD
H1FOO,LINC01425,GPR65,DYNC1LI1,DYNAP,IQCF5,H2AFY,ECE1
H2BFS,LINC01450,GPR68,DYNLL1,DYNC2H1,IQCJ-SCHIP1,H2AFY2,ECEL1
H3F3B,LINC01451,GPR82,DYNLT1,DYNLRB2,IQCK,HACD4,ECH1
HABP2,LINC01465,GPRC5A,DZIP1L,DYRK1A,IRF2BP1,HAND1,ECHDC1
HACD2,LINC01473,GPRC5C,E2F3,DYRK3,IRF4,HAO2,ECHDC2
HACE1,LINC01474,GPRIN2,E2F4,DYRK4,IRGQ,HAPLN1,ECHS1
HAGLR,LINC01480,GPRIN3,E2F5,DYSF,IRX1,HAPLN2,ECI1
HAP1,LINC01481,GPS2,E2F7,DZANK1,IRX3,HARBI1,ECI2
HAPLN3,LINC01494,GPSM3,EARS2,DZIP1,IRX5,HAS2,ECPAS
HAS3,LINC01498,GPX2,EBI3,E2F1,ISG20L2,HAVCR1,EDA2R
HASPIN,LINC01514,GRAMD2B,EBNA1BP2,E2F8,ISLR2,HAVCR1P1,EDARADD
HAUS4,LINC01518,GRB10,EBPL,EBAG9,IST1,HBA2,EDF1
HBG1,LINC01524,GREB1L,ECD,EBF1,ISY1,HBB,EDIL3
HBP1,LINC01538,GREM2,ECE2,EBF2,ITFG2-AS1,HBG1,EDN1
HCFC1,LINC01554,GRID1,ECEL1,EBLN1,ITGAL,HCAR1,EDNRB
HCFC2,LINC01562,GRIK1,ECH1,ECT2,ITGB1BP2,HCAR2,EEF1A1
HCG18,LINC01566,GRIP2,ECHDC1,ECT2L,ITLN1,HCAR3,EEF1A2
HCN4,LINC01568,GRK1,ECHDC3,EDAR,ITPKA,HCCS,EEF1AKMT3
HDAC11-AS1,LINC01588,GRK2,ECHS1,EDC4,ITPRIP,HCLS1,EEF1AKNMT
HDAC4,LINC01592,GRK4,ECI1,EDEM1,JKAMP,HCN3,EEF1B2
HDAC9,LINC01600,GRK6P1,ECM1,EDNRA,JMJD1C-AS1,HCRTR2,EEF1D
HDGFL1,LINC01621,GRM1,ECPAS,EDNRB-AS1,JOSD1,HDAC1,EEF1DP3
HEATR5B,LINC01687,GRP,ECSIT,EDRF1,JRKL,HDDC2,EEF1E1
HECTD2,LINC01703,GSDMB,EDEM2,EEF1E1-BLOC1S5,KANSL3,HDHD3,EEF1G
HECTD2-AS1,LINC01715,GSEC,EDF1,EEF2K,KANTR,HEATR3,EEF2KMT
HECW2,LINC01733,GSK3B,EDIL3,EEPD1,KAT6A,HEATR4,EFCAB2
HELT,LINC01740,GSN,EDN1,EFCAB12,KBTBD4,HECTD3,EFEMP1
HELZ,LINC01742,GSTA2,EDN2,EFCAB14,KBTBD6,HELZ2,EFEMP2
HENMT1,LINC01754,GSTA3,EDN3,EFCAB6,KCCAT333,HEPACAM2,EFHC1
HEPHL1,LINC01783,GSTA7P,EDNRB,EFCC1,KCNA1,HEPN1,EFNA2
HEPN1,LINC01804,GSTK1,EEF1A1,EFHB,KCNC3,HERC2P3,EFR3A
HERC1,LINC01813,GSTP1,EEF1AKMT3,EFHD1,KCNC4,HERC2P9,EFS
HERC2,LINC01822,GTF2IP1,EEF1AKMT4-ECE2,EFL1,KCNE1B,HERPUD1,EFTUD2
HERC2P10,LINC01835,GTF2IP1.1,EEF1B2,EFL1P1,KCNE2,HES4,EGFL6
HERPUD2,LINC01841,GTF2IP20,EEF1E1,EFNA5,KCNG3,HEY2,EGFL7
HES6,LINC01847,GTF2IP4,EEF1G,EFNB2,KCNH5,HFE,EGFR
HES7,LINC01854,GTF2IP4.1,EEF2KMT,EFR3B,KCNIP2-AS1,HHATL,EHBP1L1
HFM1,LINC01877,GTF2IRD2,EFCAB1,EGF,KCNJ1,HHIPL2,EHD2
HHAT,LINC01879,GTF2IRD2.1,EFCAB2,EGFEM1P,KCNJ2,HIC2,EHMT2
HIC2,LINC01882,GTF3A,EFCAB9,EGOT,KCNMB4,HID1-AS1,EID1
HINT1,LINC01895,GUCA1B,EFEMP1,EGR2,KCNU1,HILS1,EID2
HIP1,LINC01898,GUF1,EFEMP2,EHBP1,KCTD6,HIRA,EIF1AY
HIPK1,LINC01925,GUK1,EFHC1,EHD1,KDM4A,HIST1H1C,EIF2AK4
HIPK2,LINC01932,GUSB,EFNA2,EHF,KDM4C,HIST1H1T,EIF2B2
HIRIP3,LINC01949,GUSBP11,EFTUD2,EHMT1,KDM5A,HIST1H2AJ,EIF2B4
HIST1H1A,LINC01954,GXYLT1,EGFL7,EIF1B-AS1,KDM5B,HIST1H2BF,EIF2B5
HIVEP1,LINC01973,GXYLT2,EGFR,EIF2A,KEL,HIST1H2BL,EIF2D
HJURP,LINC01977,GYS1,EGLN2,EIF2AK2,KHDC1,HIST1H2BM,EIF2S2
HLA-DRB6,LINC01993,GZF1,EHBP1L1,EIF2AK3-DT,KHDC1L,HIST1H2BN,EIF2S3
HLCS,LINC02005,H19,EHD2,EIF2B1,KHDC4,HIST1H2BO,EIF2S3B
HLF,LINC02028,H1FX,EHD3,EIF4A2,KHSRP,HIST1H3C,EIF3B
HLTF-AS1,LINC02028.1,H2AFJ,EHMT2,EIF4E1B,KIAA1143,HIST1H3D,EIF3D
HMBOX1,LINC02032,H2AFX,EI24,EIF4E3,KIAA1191,HIST1H3F,EIF3E
HMCES,LINC02037,HAGLROS,EID1,EIF4G3,KIAA1324,HIST1H3I,EIF3F
HMCN1,LINC02053,HAND1,EID2B,ELAVL1,KIAA2026,HIST1H4A,EIF3G
HMG20A,LINC02060,HAPLN1,EIF1AY,ELAVL4,KIF18B,HIST1H4F,EIF3H
HMGCLL1,LINC02065,HAS2,EIF2AK1,ELF1,KIF27,HIST1H4L,EIF3I
HMGN2,LINC02085,HAUS6,EIF2AK4,ELF5,KIF2B,HIST2H2BE,EIF3K
HMGXB3,LINC02089,HAVCR1,EIF2B3,ELFN1,KIF5B,HIST3H2BB,EIF3L
HMGXB4,LINC02106,HAVCR1P1,EIF2B4,ELFN2,KIF9-AS1,HIST3H3,EIF3M
HNF1A,LINC02124,HAVCR2,EIF2B5,ELK2AP,KIFC1,HIVEP2,EIF4A1
HNF1A-AS1,LINC02133,HBA1,EIF2D,ELK3,KIR2DL4,HIVEP3,EIF4B
HNRNPA1L2,LINC02158,HBE1,EIF2S3B,ELK4,KIR3DL3,HK3,EIF4E
