preZGA_RNA,eight_cell_RNA,ICM_RNA,hESC_RNA,preZGA_Ribo,eight_cell_Ribo,ICM_Ribo,hESC_Ribo
ADO,ALDOB,ADCK1,ACTL6B,ADAM3A,AGO3,ADAM1A,ACTR3
ADPGK,ALG11,ADGRA2,ACTN1,ADAM8,AGO4,ADAM30,ACTR3-AS1
ADRA2B,ALG13,ADGRB3,ACTN4,ADAMTS10,AGPAT1,ADAM6,ACTR8
AFAP1,ALKAL1,ADGRF1,ACTR10,ADAMTS14,AGTR1,ADAM7,ACTRT3
AFAP1-AS1,ALKBH8,ADGRF2,ACTR3,ADAMTS3,AHCTF1,ADAM9,ACVR2B-AS1
AFAP1L2,ALLC,ADGRF4,ACTR3B,ADAMTS9,AHCTF1P1,ADAMDEC1,ACY1
AFF1,ALOX12B,ADGRG1,ACTR5,ADAMTS9-AS1,AHNAK2,ADAMTS19-AS1,ACY3
AFF2,ALPG,ADGRG3,ACTR8,ADAMTSL1,AHR,ADAMTS6,ADA2
AFF4,ALPK2,ADH1B,ACTRT3,ADAMTSL3,AIDA,ADAMTSL4,ADAM22
AGBL1,ALS2,ADI1,ACVR2B-AS1,ADAMTSL5,AIPL1,ADAP2,ADAM28
AGGF1,ALYREF,ADM5,ACY1,ADAP1,AK7,ADARB2-AS1,ADAM33
AGK,AMD1,ADNP,ACY3,ADAR,AKAP8,ADAT3,ADAMTS1
AGMO,AMDHD1,ADORA2A,ACYP2,ADARB1,AKR1B10,ADCK1,ADAMTS12
AGO2,AMIGO2,ADORA2B,ADA2,ADARB2,AKR1B15,ADCK2,ADAMTS13
AHSA1,ANAPC1P1,ADRA1B,ADAM11,ADAT1,AKR1D1,ADCK5,ADAMTS15
AHSA2P,ANGPTL1,ADRA2A,ADAM1A,ADCY3,AKT1S1,ADGB,ADAMTS16
AK9,ANKHD1,ADRM1,ADAM33,ADCY5,ALDH8A1,ADGRA1,ADAMTS19
AKAP11,ANKHD1-EIF4EBP3,ADTRP,ADAM3B,ADCY7,ALDOB,ADGRB3,ADAMTS20
AKAP6,ANKRD12,AEN,ADAMTS1,ADCY9,ALG1L9P,ADGRE5,ADAMTS4
AKIP1,ANKRD13C,AFG1L,ADAMTS16,ADD3,ALG2,ADGRF1,ADAMTS5
AKIRIN2,ANKRD20A19P,AFG3L2,ADAMTS19,ADD3-AS1,ALKAL1,ADGRF2,ADAMTS7
AKR1C4,ANKRD20A4-ANKRD20A20P,AGAP12P,ADAMTS19-AS1,ADGRA1-AS1,ALKBH8,ADGRF4,ADAMTS8
AKR1C8P,ANKRD20A9P,AGAP3,ADAMTS4,ADGRA2,ALOX12B,ADGRF5,ADAMTSL2
AKT1,ANKRD33,AGAP7P,ADAMTS7,ADGRA3,ALOX15B,ADGRG1,ADAT2
AKT2,ANKRD36,AGBL3,ADAMTS8,ADGRB2,ALOX15P1,ADGRG4,ADCY2
AKT3,ANKRD36BP2,AGER,ADAT2,ADGRD1,ALPG,ADGRL3,ADCY4
AKTIP,ANKRD36C,AGL,ADCK5,ADGRD1-AS1,ALPI,ADH6,ADCY6
ALAS1,ANKRD50,AGO4,ADCY2,ADGRE3,ALPP,ADH7,ADCY8
ALDH5A1,ANKRD54,AGPAT4-IT1,ADCY6,ADGRG3,ALX3,ADIPOQ-AS1,ADCYAP1R1
ALDH9A1,ANKZF1,AGRN,ADCY8,ADGRG7,ALX4,ADNP,ADD2
ALKBH1,ANXA10,AHCYL1,ADCYAP1R1,ADGRL1,ALYREF,ADORA2B,ADGRB1
ALMS1,AP3S1,AHNAK,ADD3-AS1,ADH1A,AMDHD2,ADORA3,ADGRE2
ALMS1-IT1,AP4B1-AS1,AICDA,ADGRB1,ADH1C,AMIGO2,ADRA2A,ADGRG5
ALOX15,APAF1,AIF1L,ADGRE2,ADIG,AMY2B,ADRA2C,ADGRL2
ALOXE3,API5,AIFM2,ADGRE5,ADIPOQ,ANAPC15,ADRB1,ADGRL4
AMBRA1,APOBEC1,AIM2,ADGRG5,ADM5,ANGPTL8,ADRB3,ADH5
AMH,APOBEC3H,AIMP1,ADGRL1,ADO,ANKHD1,ADTRP,ADIRF
AMMECR1L,APOLD1,AIRE,ADGRL2,ADORA2A-AS1,ANKIB1,AEBP2,ADM
AMOT,APTR,AK2,ADGRL4,ADPGK,ANKRD12,AFDN-DT,ADM2
AMPD3,AQP6,AK4,ADH4,ADPGK-AS1,ANKRD13C,AFG3L2,ADNP-AS1
AMPH,AQP7P3,AK8,ADH5,ADRA2B,ANKRD13D,AGAP1-IT1,ADORA1
ANAPC1,AQP7P3.1,AKAP10,ADH6,ADRB2,ANKRD20A12P,AGAP11,ADPRH
ANAPC10,ARF3,AKAP12,ADHFE1,AFAP1,ANKRD20A9P,AGAP3,ADPRHL2
ANGPT2,ARF4-AS1,AKAP4,ADIPOQ,AFAP1-AS1,ANKRD36B,AGER,ADSL
ANGPTL4,ARF6,AKAP9,ADIPOR1,AFAP1L2,ANKRD36BP2,AGL,ADSS
ANGPTL5,ARGFX,AKR7A3,ADK,AFDN,ANKRD37,AGRP,ADSSL1
ANK3,ARGLU1,ALAD,ADM,AFF1,ANKRD40,AGTR2,AEBP1
ANKRA2,ARHGAP11A,ALAS2,ADNP-AS1,AFF3,ANKRD50,AHNAK,AEN
ANKRD10,ARHGAP11B,ALDH16A1,ADORA1,AFF4,ANKRD52,AICDA,AFAP1L1
ANKRD13A,ARHGAP25,ALDH1A1,ADPRH,AGAP2-AS1,ANKRD54,AIF1L,AFF2
ANKRD17,ARHGAP31-AS1,ALDH4A1,ADPRHL2,AGFG1,ANKZF1,AIFM1,AFG1L
ANKRD20A4,ARHGAP5,ALDH6A1,ADRA1D,AGK,ANP32AP1,AIRE,AFP
ANKRD26,ARHGAP9,ALG14,ADRA2C,AGMAT,AOC2,AK2,AGA
ANKRD30A,ARHGEF38,ALG1L9P,ADRB3,AGMO,AOC4P,AK4,AGAP2
ANKRD30BL,ARID4B,ALG2,ADSL,AGO1,AP1G1,AKAP10,AGBL2
ANKRD31,ARL2-SNX15,ALKBH7,ADSS,AGO2,AP4B1,AKAP12,AGBL3
ANKRD34B,ARL6IP1,ALOX12,AEBP1,AGPAT2,AP4E1,AKAP3,AGPAT4-IT1
ANKRD36BP1,ARL8B,ALOX15B,AFAP1L1,AGPAT4,AP4M1,AKNAD1,AGPAT5
ANKRD37,ARL9,ALOX5,AFDN-DT,AGT,APAF1,AKR7A2P1,AGPS
ANKRD44,ARMC5,ALPK1,AFF1-AS1,AGTPBP1,APBB1IP,AKR7L,AGRN
ANKRD45,ARMH3,ALPL,AFG3L1P,AGXT2,APBB3,ALAD,AHCY
ANKRD46,ARPP19,ALPP,AFP,AHDC1,APC2,ALDH1A1,AHCYL1
ANKRD6,ARRDC1-AS1,AMBN,AGA,AHI1,APOBR,ALDH2,AHSG
ANLN,ARRDC2,AMER2,AGAP2-AS1,AHSA1,APOH,ALG11,AIF1
ANO1,ARSD,AMHR2,AGAP6,AHSP,APTR,ALG5,AIFM2
ANO4,ARSK,AMMECR1,AGAP9,AIMP2,APTX,ALOX12,AIFM3
ANO5,ART1,AMOTL2,AGAP9.1,AJAP1,AQP11,ALOX12-AS1,AIG1
ANO6,ART3,ANGEL1,AGBL5,AJM1,AQP12B,ALOX5,AIM2
ANXA2P3,ASAH2B,ANGPT1,AGO1,AK9,AQP6,ALPK1,AIMP1
ANXA7,ASB7,ANGPT4,AGPAT1,AKAP11,AREG,ALPL,AJUBA
AOC2,ASB9P1,ANGPTL3,AGPAT5,AKAP13,AREG.1,AMBN,AK3
AOX1,ASDURF,ANKDD1B,AGTRAP,AKAP2,ARF1,AMDHD1,AK6
AP1M2,ASH1L,ANKFN1,AHCY,AKAP4,ARF3,AMER2,AKAP14
AP3M2,ASH1L-AS1,ANKFY1,AHNAK2,AKAP6,ARF4-AS1,AMHR2,AKAP5
APBA1,ASNSP1,ANKLE1,AHSG,AKAP8L,ARF6,AMOTL2,AKAP7
APBB2,ASTE1,ANKLE2,AHSP,AKIP1,ARGFX,ANAPC5,AKIRIN1
APC,ASXL2,ANKRD1,AIF1,AKIRIN2,ARGFXP2,ANGPT1,AKNA
APH1A,ATF1,ANKRD11,AIFM3,AKR1C4,ARGLU1,ANGPT2,AKR1A1
APLP1,ATF7,ANKRD20A11P,AIG1,AKR1C8P,ARHGAP11A,ANGPT4,AKR1C1
APPBP2,ATG101,ANKRD20A5P,AIMP2,AKR1E2,ARHGAP11B,ANHX,AKR1C2
APPL2,ATG12,ANKRD20A8P,AIPL1,AKT1,ARHGAP27P1-BPTFP1-KPNA2P3,ANK1,AKR1C3
AQR,ATG14,ANKRD23,AJUBA,AKT2,ARHGAP31-AS1,ANKDD1B,AKR7A2
